human_symbol	mouse_symbol
A1BG	A1bg
A1CF	A1cf
A2M	A2m
A2M	Pzp
A2M	Mug2
A2M	Mug1
A2M	A2ml1
A2M	Gm7298
A2ML1	A2m
A2ML1	A2ml1
A2ML1	Gm7298
A2ML1	Pzp
A2ML1	Mug2
A2ML1	Mug1
A3GALT2	A3galt2
A4GALT	A4galt
A4GNT	A4gnt
AAAS	Aaas
AACS	Aacs
AADAC	Aadac
AADAC	Nceh1
AADAC	Aadacl2fm1
AADAC	Aadacl2fm3
AADAC	Aadacl2
AADAC	Aadacl2fm2
AADACL2	Aadacl2
AADACL2	Aadacl2fm1
AADACL2	Aadacl2fm3
AADACL2	Aadacl2fm2
AADACL2	Aadac
AADACL2	Nceh1
AADACL3	Aadacl3
AADACL3	Aadacl4fm1
AADACL3	Aadacl4
AADACL3	AAdacl4fm3
AADACL3	Aadacl4fm2
AADACL3	Aadacl4fm4
AADACL3	Aadacl4fm5
AADACL4	Aadacl4
AADACL4	AAdacl4fm3
AADACL4	Aadacl4fm4
AADACL4	Aadacl4fm5
AADACL4	Aadacl4fm2
AADACL4	Aadacl4fm1
AADACL4	Aadacl3
AADAT	Aadat
AAGAB	Aagab
AAK1	Aak1
AAMDC	Aamdc
AAMP	Aamp
AANAT	Aanat
AAR2	Aar2
AARD	Aard
AARS1	Aars
AARS1	Aars2
AARS2	Aars2
AARS2	Aars
AARSD1	Aarsd1
AARSD1	Gm27029
AASDH	Aasdh
AASDHPPT	Aasdhppt
AASS	Aass
AATF	Aatf
AATK	Aatk
ABAT	Abat
ABCA1	Abca1
ABCA1	Abca4
ABCA1	Abca7
ABCA1	Abca13
ABCA1	Abca12
ABCA1	Abca17
ABCA1	Abca2
ABCA10	Abca8b
ABCA10	Abca6
ABCA10	Abca5
ABCA10	Abca9
ABCA10	Abca8a
ABCA12	Abca12
ABCA12	Abca4
ABCA12	Abca7
ABCA12	Abca13
ABCA12	Abca17
ABCA12	Abca2
ABCA12	Abca1
ABCA13	Abca13
ABCA13	Abca4
ABCA13	Abca7
ABCA13	Abca12
ABCA13	Abca17
ABCA13	Abca2
ABCA13	Abca1
ABCA17P	Abca17
ABCA2	Abca2
ABCA2	Abca4
ABCA2	Abca7
ABCA2	Abca13
ABCA2	Abca12
ABCA2	Abca17
ABCA2	Abca1
ABCA3	Abca3
ABCA3	Abca17
ABCA3	Abca4
ABCA3	Abca7
ABCA3	Abca13
ABCA3	Abca14
ABCA3	Abca15
ABCA3	Abca16
ABCA3	Abca12
ABCA3	Abca1
ABCA4	Abca4
ABCA4	Abca7
ABCA4	Abca13
ABCA4	Abca12
ABCA4	Abca17
ABCA4	Abca2
ABCA4	Abca1
ABCA5	Abca5
ABCA5	Abca8b
ABCA5	Abca6
ABCA5	Abca9
ABCA5	Abca8a
ABCA6	Abca6
ABCA6	Abca8b
ABCA6	Abca5
ABCA6	Abca9
ABCA6	Abca8a
ABCA7	Abca7
ABCA7	Abca4
ABCA7	Abca13
ABCA7	Abca12
ABCA7	Abca17
ABCA7	Abca2
ABCA7	Abca1
ABCA8	Abca8b
ABCA8	Abca8a
ABCA8	Abca9
ABCA8	Abca6
ABCA8	Abca5
ABCA9	Abca9
ABCA9	Abca8a
ABCA9	Abca8b
ABCA9	Abca6
ABCA9	Abca5
ABCB1	Abcb1a
ABCB1	Abcb1b
ABCB1	Abcb4
ABCB1	Abcb11
ABCB1	Abcb5
ABCB10	Abcb10
